Date,Repo_Rate,Interest_Rate,Market_Rate,VIX,Treasury_10Y,Deposits,Withdrawals,Loans_Given,Loan_Repayment,HQLA,ASF,RSF,Total_Deposits_Pool,Total_Loans_Pool,LCR,NSFR,Net_Cash_Flow,Cumulative_Net_Cash_Flow,NLP,Crisis_Phase,Crisis_Name,Sentiment,News_Headline,Predicted_Survival_Days
2019-01-02,2.411921,4.220839,2.280646,19.84,2.7076,505805.42,432033.89,107475.85,213945.72,20167967.42,120077460.11,63404790.81,100073771.53,69893530.12,201.531,189.3823,180241.41,180241.41,20180241.41,normal,,0.0,,304.0
2019-01-03,2.396682,4.380559,2.794214,19.91,2.709,498108.21,503605.28,177821.38,270339.95,20271419.67,120071688.19,63320702.56,100068274.46,69801011.55,202.5759,189.6247,87021.51,267262.91,20267262.91,normal,,0.0,,303.0
2019-01-04,2.415545,4.706855,2.116456,20.0,2.6631,552063.2,240235.89,283512.59,248759.43,20514922.24,120399106.86,63353658.97,100380101.77,69835764.7,204.3724,190.0429,277074.16,544337.07,20544337.07,normal,,0.0,,302.0
2019-01-07,2.436553,4.581703,1.953522,19.59,2.7505,515116.07,518706.18,156124.55,271008.17,20647933.17,120395337.25,63249177.84,100376511.67,69720881.08,205.7048,190.3508,111293.52,655630.59,20655630.59,normal,,0.0,,301.0
2019-01-08,2.39438,4.461239,2.826647,19.79,2.7111,575785.61,225181.33,127399.53,107024.08,20961368.6,120763471.75,63268355.41,100727115.95,69741256.52,208.1006,190.875,330228.84,985859.43,20985859.43,normal,,0.0,,300.0
2019-01-09,2.394381,3.966594,2.578816,20.06,2.722,460675.97,512548.14,102043.34,199113.95,20961291.33,120709005.96,63183255.64,100675243.78,69644185.9,208.207,191.0459,45198.44,1031057.87,21031057.87,normal,,0.0,,299.0
2019-01-10,2.437901,4.586158,2.110287,19.65,2.7358,476732.79,391789.12,195492.93,130475.18,20873238.88,120798196.82,63247170.53,100760187.45,69709203.64,207.1576,190.9938,19925.93,1050983.81,21050983.81,normal,,0.2,"Inflation falls to 3.0%, closer to Fed's 2% target",298.0
2019-01-11,2.418418,4.545251,2.171617,19.96,2.6823,635348.53,361496.95,130592.8,272273.35,21217835.97,121085740.99,63123204.78,101034039.04,69567523.09,210.0068,191.8245,415532.15,1466515.95,21466515.95,normal,,0.17,,297.0
2019-01-14,2.388733,4.343689,2.642208,19.63,2.7228,593643.33,437404.27,294975.65,191635.84,21219824.61,121249792.0,63218756.14,101190278.1,69670862.9,209.7022,191.794,52899.25,1519415.2,21519415.2,normal,,0.1445,,296.0
2019-01-15,2.413021,4.041924,2.633018,19.99,2.7027,282418.16,362691.24,208825.06,120090.47,21019669.64,121165505.27,63300174.64,101110005.01,69759597.5,207.8891,191.4142,-169007.68,1350407.52,21350407.52,normal,,0.122825,,295.0
2019-01-16,2.388878,4.52808,2.124561,19.73,2.732,268721.04,386431.39,170869.93,242225.2,20926498.31,121041909.4,63238295.71,100992294.66,69688242.23,207.2089,191.406,-46355.08,1304052.43,21304052.43,normal,,0.122825,No major economic releases — markets steady,294.0
2019-01-17,2.388822,4.316364,2.049683,19.27,2.6505,534653.35,475141.76,124963.42,255511.19,21050248.94,121104396.57,63124118.15,101051806.26,69557694.46,208.3115,191.8512,190059.36,1494111.8,21494111.8,normal,,0.104401,,293.0
2019-01-18,2.405807,4.720432,2.84197,19.65,2.7044,520490.64,446737.51,120777.52,192351.34,21152342.02,121181837.36,63061863.4,101125559.39,69486120.63,209.1691,192.1634,145326.96,1639438.76,21639438.76,normal,,0.088741,,292.0
2019-01-21,2.354081,4.344394,2.700866,18.81,2.6879,436990.93,515874.59,206996.95,172706.1,20926045.96,121099009.51,63098381.24,101046675.72,69520411.48,207.0929,191.9209,-113174.51,1526264.24,21526264.24,normal,,0.07543,,291.0
2019-01-22,2.358602,4.431374,2.096939,18.64,2.7149,568530.7,333937.13,166391.36,189778.21,21120310.77,121345332.75,63080518.85,101281269.29,69497024.62,208.5313,192.3658,257980.42,1784244.67,21784244.67,normal,,0.064115,,290.0
2019-01-23,2.386505,4.347178,2.193593,18.67,2.715,709702.73,246890.97,166769.76,122804.89,21460589.14,121831285.1,63124015.66,101744081.05,69540989.49,210.9272,193.0031,418846.89,2203091.56,22203091.56,normal,,0.364115,Sovereign wealth fund announces $10B bank investment,289.0
2019-01-24,2.375692,4.232251,2.322995,18.69,2.6822,283094.71,227823.13,209803.05,200228.04,21437768.91,121889320.26,63136059.01,101799352.63,69550564.49,210.5885,193.0582,45696.58,2248788.13,22248788.13,normal,,0.309498,,288.0
